dataset,p,d,scale_factor,c
Covertype,2.3,55,1.8241,131.1668
Covertype,2.5,55,2.7233,71.8375
Covertype,3.0,55,7.4162,591.3019
Covertype,3.5,55,20.1963,600.1313
Covertype,4.0,55,55.0,2573.1901
Example2D,2.3,3,1.1791,1.1664
Example2D,2.5,3,1.3161,1.2882
Example2D,3.0,3,1.7321,1.5868
Example2D,3.5,3,2.2795,1.9119
Example2D,4.0,3,3.0,2.2588
Iris,2.3,5,1.2731,1.1264
Iris,2.5,5,1.4953,1.2071
Iris,3.0,5,2.2361,1.4267
Iris,3.5,5,3.3437,1.6562
Iris,4.0,5,5.0,1.8937
KDDCup,2.3,34,1.6972,1.4379
KDDCup,2.5,34,2.4147,1.8033
KDDCup,3.0,34,5.831,2.9592
KDDCup,3.5,34,14.0802,4.509
KDDCup,4.0,34,34.0,25.4661
Webspam,2.3,129,2.0729,1.6839
Webspam,2.5,129,3.3701,2.3504
Webspam,3.0,129,11.3578,4.9642
Webspam,3.5,129,38.2774,9.1527
Webspam,4.0,129,129.0,19.4063
